Date,Observer,Group,Time,Actor ID,Actor fatness,Recipient ID,Recipient fatness,Behavior,Winner,Female present?,Notes,,,,Actor fatness,Recipient fatness,,Grade ,Winner,,Grade ,,Grade,# Observations,
7/14/23,Anita,A,9:10,AM,3,AM,2,AT,Actor,N,,,,,3,2,,3,Actor,,3,,1,0,
7/25/24,Anita,B,12:09,AM,3,AM,2,AT,Actor,N,Recipient fell to ground and ran 3m on ground,,,,3,2,,3,Actor,,3,,2,16,
7/14/23,Jilly,A,9:34,AM,3,AM5,3,AT,Recipient,N,,,,,3,3,,3,Recipient,,3,,3,72,
7/14/23,Anita,A,10:59,AM,2,AM,2,CH,Actor,N,Chased off two AM-2,,,,2,2,,2,Actor,,2,,,88,
7/29/23,Jilly,A,10:36,AM,2,AM,3,CH,Actor,N,,,,,2,3,,2,Actor,,2,,,,
8/1/23,Natalie,A,11:27,AM,3,AM,2,CH,Actor,N,,,,,3,2,,3,Actor,,3,,,% Observations,
7/26/23,Jilly,A,11:39,AM,3,AM,2,CH,Actor,N,,,,,3,2,,3,Actor,,3,,Grade,% Expected,%won
7/28/23,Jilly,B,10:11,AM,3,AM,2,CH,Actor,N,,,,,3,2,,3,Actor,,3,,Grade 1,33.3,0
7/24/23,Jilly,A,9:27,AM,3,AM,3 and 3,CH,Actor,N,,,,,3,3 and 3,,3,Actor,,3,,Grade 2,33.3,18
7/13/23,Anita,A,9:59,AM,3,AM,3,DP,Recipient,N,,,,,3,3,,3,Recipient,,3,,Grade 3,33.3,82
7/26/23,Jilly,A,11:38,AM,2,AM,3,FT,Recipient,N,,,,,2,3,,3,Recipient,,3,,,,
7/26/23,Anita,A,11:40,AM,3,AM,2,FT,Actor,N,Maybe AM3?,,,,3,2,,3,Actor,,3,,,,
7/27/23,Jilly,A,2:31,AM,3,AM,2,FT,Actor,N,,,,,3,2,,3,Actor,,3,,,,
7/24/23,Jilly,A,9:52,AM,3,AM,3,FT,Recipient,N,,,,,3,3,,3,Recipient,,3,,,,
7/18/23,Anita,A,8:26,AM,3,AM5,3,TH,Recipient,N,,,,,3,3,,3,Recipient,,3,,,,
8/2/24,Vanessa,B,9:28,AM,3,AM9,3,TH,Recipient,N,,,,,3,3,,3,Recipient,,3,,,,
7/15/24,Landon,A,11:55,AM,3,AM,2,FT,Actor,U,,,,,3,2,,3,Actor,,3,,,,
7/14/23,Jilly,A,9:55,AM,2,AM,3,AT,Recipient,Y,,,,,2,3,,3,Recipient,,3,,,,
7/19/23,Jilly,B,11:33,AM,2,AM,3,AT,Recipient,Y,AF24 was female,,,,2,3,,3,Recipient,,3,,,,
7/19/23,Jilly,B,11:38,AM,2,AM,1,CH,Actor,Y,,,,,2,1,,2,Actor,,2,,,,
7/18/23,Anita,A,9:42,AM,2,AM,2,CH,Actor,Y,,,,,2,2,,2,Actor,,2,,,,
7/29/23,Jilly,A,8:42,AM,3,AM,1,CH,Actor,Y,,,,,3,1,,3,Actor,,3,,,,
7/14/23,Anita,A,9:59,AM,3,AM,2,CH,Actor,Y,Chased to the ground,,,,3,2,,3,Actor,,3,,,,
7/22/23,Anita,A,11:08,AM,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
7/26/23,Anita,A,11:36,AM,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/9/23,Jacob,A,8:50,AM,3,AM,2,CH,Actor,Y,This happened three times in the span of 10 minutes; AF15,,,,3,2,,3,Actor,,3,,,,
8/1/23,Natalie,A,10:36,AM,3,AM,2,CH,Actor,Y,"AM fatted 2, AM fatted 3 disrupts, AM fatted 2 leaves, Female goes with AM fatted 3",,,,3,2,,3,Actor,,3,,,,
7/24/23,Jilly,A,9:12,AM,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
7/24/23,Jilly,A,10:21,AM,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
7/29/23,Jilly,A,10:40,AM,3,AM,2,CH,Actor,Y,,,,,3,2,,3,Actor,,3,,,,
8/1/23,Natalie,A,11:05,AM,3,AM,3,CH,Actor,Y,AM with female won,,,,3,3,,3,Actor,,3,,,,
8/1/23,Natalie,A,11:12,AM,3,AM,3,CH,Actor,Y,,,,,3,3,,3,Actor,,3,,,,
8/1/23,Natalie,A,11:38,AM,3,AM,3,CH,Actor,Y,,,,,3,3,,3,Actor,,3,,,,
7/25/23,Jilly,B,10:00,AM,3,AM,3,CH,Actor,Y,,,,,3,3,,3,Actor,,3,,,,
