Date,Observer,Group,Focal ID,Focal Fatness,Time,NN ID,NN Fatness
7/16/2024,Anita,A,Marcey,3,9:02 AM,AM8,2
7/16/2024,Anita,A,Marcey,3,9:03 AM,AM8,2
7/10/2023,Jilly,A,AM,3,11:11 AM,,2
7/10/2023,Jilly,A,AM,2,11:46 AM,,3
7/14/2023,Jilly,A,AM,3,9:30 AM,AM5,3
7/14/2023,Jilly,A,AM,3,9:31 AM,AM5,3
7/20/2023,Jilly,A,AM,3,8:36 AM,,3
7/24/2023,Jilly,A,AM,2,11:24 AM,,3
7/26/2023,Jilly,A,AM-holes,3,8:58 AM,,3
7/27/2023,Jilly,A,AM-tear,2,1:57 PM,,1
7/27/2023,Jilly,A,AM-tear,2,1:58 PM,,1
7/27/2023,Jilly,A,AM-tear,2,1:59 PM,,2
7/27/2023,Jilly,A,AM-tear,2,2:00 PM,,2
7/27/2023,Jilly,A,AM-tear,2,2:01 PM,,2
7/27/2023,Jilly,A,AM-tear,2,2:02 PM,,2
7/27/2023,Jilly,A,AM-tear,2,2:03 PM,,1
7/27/2023,Jilly,A,AM-tear,2,2:04 PM,,1
7/27/2023,Jilly,A,AM-tear,2,2:05 PM,,1
7/27/2023,Jilly,A,AM,1,2:06 PM,,2
7/27/2023,Jilly,A,AM,1,2:07 PM,,2
7/27/2023,Jilly,A,AM,1,2:09 PM,,2
7/27/2023,Jilly,A,AM,1,2:10 PM,,2
7/27/2023,Jilly,A,AM,2,2:24 PM,,1
7/27/2023,Jilly,A,AM,2,2:25 PM,,1
7/29/2023,Jilly,A,AM,1,9:41 AM,AM5,3
7/29/2023,Jilly,A,AM,1,9:42 AM,AM5,3
7/29/2023,Jilly,A,AM,1,9:46 AM,AM5,3
7/29/2023,Jilly,A,AM-scar,2,10:35 AM,,3
8/5/2023,Jilly,A,AM,1,8:37 AM,,2
8/5/2023,Jilly,A,AM,1,8:38 AM,,2
8/5/2023,Jilly,A,AM,1,8:39 AM,,2
8/5/2023,Jilly,A,AM,1,8:40 AM,,2
8/5/2023,Jilly,A,AM,1,11:07 AM,,2
8/5/2023,Jilly,A,AM,1,11:09 AM,,2
8/10/2023,Jilly,A,AM,3,9:13 AM,,2
8/10/2023,Jilly,A,AM,2,9:20 AM,,2
8/10/2023,Jilly,A,AM,2,9:21 AM,,2
8/10/2023,Jilly,A,AM,2,9:31 AM,,1
7/17/2023,Jacob,A,AM,1,8:44 AM,,1
7/24/2023,Jacob,A,AM,2,8:21 AM,,3
7/24/2023,Jacob,A,AM,2,8:22 AM,,3
7/24/2023,Jacob,A,AM,2,8:23 AM,,3
8/4/2023,Jacob,A,AM,1,9:50 AM,AM-scar,2
8/4/2023,Jacob,A,AM,1,9:51 AM,AM-scar,2
8/5/2023,Jacob,A,AM-holes,3,9:36 AM,,3
8/5/2023,Jacob,A,AM-holes,3,9:39 AM,,3
8/5/2023,Jacob,A,AM-holes,3,9:40 AM,,3
8/12/2023,Jacob,A,AM,2,10:02 AM,,2
8/12/2023,Jacob,A,AM,2,10:03 AM,,2
7/10/2024,Bella,A,AM3,2,10:19 AM,AM7,3
7/11/2024,Bella,A,Marcey,3,9:59 AM,,2
7/11/2024,Bella,A,AM5,3,10:26 AM,,3
7/11/2024,Bella,A,AM5,3,10:27 AM,,3
7/11/2024,Bella,A,AM3,2,11:53 AM,AM7,3
7/27/2024,Bella,A,AM7,3,10:15 AM,AM3,2
8/7/2024,Vanessa,A,AM3,2,8:36 AM,,3
7/16/2024,Landon,A,AM8,2,9:02 AM,Marcey,3
8/3/2024,Landon,A,AM5,3,10:31 AM,AM3,2
7/19/2024,Landon,A,AM8,2,9:33 AM,,2
7/19/2024,Landon,A,AM8,2,9:42 AM,,2
7/18/2023,Jilly,B,AM,3,10:11 AM,,3
7/18/2023,Jilly,B,AM,2,11:58 AM,,1
7/18/2023,Jilly,B,AM,2,11:59 AM,,1
7/18/2023,Jilly,B,AM,2,12:00 PM,,1
7/18/2023,Jilly,B,AM,2,12:01 PM,,1
7/18/2023,Jilly,B,AM,2,12:02 PM,,1
7/18/2023,Jilly,B,AM,2,12:03 PM,,1
7/18/2023,Jilly,B,AM,2,12:06 PM,,1
7/18/2023,Jilly,B,AM,2,12:13 PM,,1
7/18/2023,Jilly,B,AM,2,12:14 PM,,1
7/18/2023,Jilly,B,AM,2,12:15 PM,,1
7/18/2023,Jilly,B,AM,2,12:16 PM,,1
7/18/2023,Jilly,B,AM,2,12:18 PM,,1
7/19/2023,Jilly,B,AM,1,10:55 AM,,3
7/19/2023,Jilly,B,AM,1,10:57 AM,,3
7/19/2023,Jilly,B,AM,1,10:59 AM,,3
7/19/2023,Jilly,B,AM,2,11:24 AM,,3
7/19/2023,Jilly,B,AM,2,11:25 AM,,3
7/19/2023,Jilly,B,AM,2,11:26 AM,,3
7/19/2023,Jilly,B,AM,2,11:27 AM,,3
7/19/2023,Jilly,B,AM,2,11:28 AM,,3
7/19/2023,Jilly,B,AM,2,11:29 AM,,3
7/19/2023,Jilly,B,AM,2,11:30 AM,,3
7/25/2023,Jilly,B,AM,2,10:10 AM,,2
7/25/2023,Jilly,B,AM,3,10:21 AM,,1
7/25/2023,Jilly,B,AM,3,10:23 AM,,2
7/28/2023,Jilly,B,AM,3,9:44 AM,,1
7/28/2023,Jilly,B,AM,1,10:41 AM,,3
7/28/2023,Jilly,B,AM,1,10:42 AM,,3
7/28/2023,Jilly,B,AM,1,10:43 AM,,3
7/28/2023,Jilly,B,AM,1,10:44 AM,,3
7/28/2023,Jilly,B,AM,1,10:45 AM,,3
8/7/2023,Jilly,B,AM,3,10:41 AM,,2
7/26/2023,Jacob,B,AM,3,10:06 AM,,2
7/28/2023,Jacob,B,AM,3,10:41 AM,,1
7/28/2023,Jacob,B,AM,3,10:42 AM,,1
7/28/2023,Jacob,B,AM,3,10:43 AM,,1
7/28/2023,Jacob,B,AM,3,10:44 AM,,1
7/28/2023,Jacob,B,AM,3,10:45 AM,,1
7/28/2023,Jacob,B,AM,3,10:46 AM,,1
8/3/2023,Jacob,B,AM,2,11:21 AM,,3
8/3/2023,Jacob,B,AM,2,11:22 AM,,3
8/3/2023,Jacob,B,AM,2,11:23 AM,,3
8/3/2023,Jacob,B,AM,2,11:24 AM,,3
8/3/2023,Jacob,B,AM,2,11:25 AM,,3
8/3/2023,Jacob,B,AM,2,11:27 AM,,3
8/3/2023,Jacob,B,AM,2,11:28 AM,,3
8/3/2023,Jacob,B,AM,2,11:30 AM,,3
8/3/2023,Jacob,B,AM,2,11:31 AM,,3
8/3/2023,Jacob,B,AM,3,11:33 AM,,2
8/3/2023,Jacob,B,AM,3,11:34 AM,,2
8/3/2023,Jacob,B,AM,3,11:35 AM,,2
8/3/2023,Jacob,B,AM,3,11:36 AM,,1
8/3/2023,Jacob,B,AM,3,11:37 AM,,2
7/30/2024,Vanessa,B,AM6,3,10:24 AM,AM1,3
7/30/2024,Vanessa,B,AM9,3,11:16 AM,AM6,3
8/1/2024,Landon,B,AM1,3,9:43 AM,,3
